# Prefix,Country,Region,City,Postal
# ASN,AS149841,,,
# Updated,Daily,,,
# NETWORK SUBNETS,,,,
103.187.240.110,AU,AU-NSW,JINDERA,2642
103.187.240.111,AU,AU-VIC,WODONGA,3690
103.187.240.112,AU,AU-NSW,YOUNG,2594
103.187.240.113,AU,AU-NSW,ALBURY,2640
103.187.240.114,AU,AU-NSW,WIRLINGA,2640
103.187.240.115,AU,AU-VIC,WODONGA,3690
103.187.240.116,AU,AU-VIC,WODONGA,3690
103.187.240.117,AU,AU-NSW,YAMBA,2464
103.187.240.118,AU,AU-NSW,THURGOONA,2640
103.187.240.119,AU,AU-NSW,ALBURY,2640
103.187.240.120,AU,AU-NSW,ALBURY,2640
103.187.240.121,AU,AU-NSW,GLENROY,2640
103.187.240.122,AU,AU-VIC,WODONGA,3690
103.187.240.123,AU,AU-NSW,GRENFELL,2810
103.187.240.124,AU,AU-VIC,WODONGA,3690
103.187.240.126,AU,AU-VIC,HUON CREEK,3691
103.187.240.127,AU,AU-VIC,WODONGA,3690
103.187.240.128,AU,AU-NSW,NORTH ALBURY,2640
103.187.240.129,AU,AU-VIC,WEST WODONGA,3690
103.187.240.130,AU,AU-NSW,NORTH ALBURY,2640
103.187.240.131,AU,AU-NSW,NORTH ALBURY,2640
103.187.240.132,AU,AU-VIC,WODONGA,3690
103.187.240.133,AU,AU-QLD,SINNAMON PARK,4073
103.187.240.134,AU,AU-NSW,LAVINGTON,2641
103.187.240.135,AU,AU-VIC,CHILTERN,3683
103.187.240.136,AU,AU-VIC,WEST WODONGA,3690
103.187.240.137,AU,AU-VIC,WODONGA,3690
103.187.240.138,AU,AU-NSW,NORTH ALBURY,2640
103.187.240.139,AU,AU-VIC,WEST WODONGA,3690
103.187.240.140,AU,AU-NSW,THURGOONA,2640
103.187.240.143,AU,AU-NSW,GLENROY,2640
103.187.240.145,AU,AU-NSW,YOUNG,2594
103.187.240.146,AU,AU-VIC,WEST WODONGA,3690
103.187.240.147,AU,AU-VIC,WANGARATTA,3677
103.187.240.148,AU,AU-NSW,HOWLONG,2643
103.187.240.149,AU,AU-VIC,WEST WODONGA,3690
103.187.240.150,AU,AU-NSW,NORTH ALBURY,2640
103.187.240.152,AU,AU-NSW,THURGOONA,2640
103.187.240.154,AU,AU-NSW,ALBURY,2640
103.187.240.155,AU,AU-VIC,KILLARA,3691
103.187.240.157,AU,AU-VIC,LENEVA,3691
103.187.240.159,AU,AU-VIC,YOUNG,2594
103.187.241.235,AU,AU-VIC,ETTAMOGAH,2640
103.187.241.239,AU,AU-VIC,BEECHWORTH,3747
103.187.241.241,AU,AU-NSW,SOUTH ALBURY,2640
103.187.241.243,AU,AU-NSW,ALBURY,2640
103.187.241.245,AU,AU-NSW,NORTH ALBURY,2640
103.187.241.247,AU,AU-NSW,THURGOONA,2640
103.187.241.249,AU,AU-NSW,ALBURY,2640
